id,name,type,visibility,isAbstract,isFinal,linesOfCode,methodsCount,cluster,isSmelly
C1,UserService,Class,public,false,false,230,12,Payment,false
C2,PaymentGateway,Class,public,true,false,150,8,Payment,false
C3,Logger,Class,public,false,true,90,5,Core,false
C4,AuthManager,Class,public,false,false,180,10,Payment,false
C5,UserRepository,Class,package-private,false,false,120,6,Payment,false
C6,NotificationService,Class,public,false,false,140,7,Payment,false
C7,EmailAdapter,Class,public,false,false,100,5,Payment,false
C8,DatabaseConnector,Class,public,false,false,200,8,Core,false
C9,CacheManager,Class,protected,false,false,130,6,Core,false
C10,ReportGenerator,Class,public,false,false,170,9,Reports,false
C11,PDFExporter,Class,public,false,false,110,4,Reports,false
C12,CSVExporter,Class,public,false,false,90,4,Reports,false
C13,ExportInterface,Interface,public,true,false,0,0,Reports,false
C14,PaymentProcessor,Class,public,false,false,210,10,Payment,false
C15,PaymentAdapter,Class,public,false,false,130,5,Payment,false
C16,InvoiceManager,Class,public,false,false,150,8,Payment,false
C17,UIComponent,Component,public,true,false,0,0,UI,false
C18,Button,Class,public,false,false,80,3,UI,false
C19,TextField,Class,public,false,false,85,3,UI,false
C20,Form,Class,public,false,false,95,4,UI,false
C21,AnalyticsService,Class,public,false,false,175,7,Analytics,true
C22,EventTracker,Class,package-private,false,false,125,5,Analytics,true
C23,MainController,Class,public,false,false,240,15,Core,true
C24,ConfigManager,Class,public,false,true,60,2,Core,false
C25,SessionHandler,Class,public,false,false,130,6,Core,false
C26,FileStorage,Class,public,false,false,140,6,Storage,true
C27,CloudStorage,Class,public,false,false,150,7,Storage,true
C28,StorageInterface,Interface,public,true,false,0,0,Storage,false
C29,ErrorHandler,Class,public,false,false,100,5,Core,false
C30,MetricsCollector,Class,public,false,false,160,8,Analytics,false
